ichthyology,	study of fish
icon,	religious image; idol
iconoclastic,	attacking cherished traditions
ideology,	ideas of a group of people
idiom,	special usage in language
idiosyncrasy,	peculiarity; eccentricity
idiosyncratic,	private; peculiar to an individual
idolatry,	worship of idols; excessive admiration
idyllic,	charmingly carefree; simple
igneous,	produced by fire; volcanic
ignoble,	of lowly origin; unworthy
ignominious,	disgraceful
illicit,	illegal
illimitable,	infinite
illuminate,	brighten; clear up or make understandable
illusion,	misleading vision
illusive,	deceiving
illusory,	deceptive; not real
imbalance,	lack of balance or symmetry; disproportion
imbecility,	weakness of mind
imbibe,	drink in
immaculate,	pure; spotless
imminent,	impeding; near at hand
immobility,	state of being immovable
immune,	exempt
immutable,	unchangeable
impair,	worsen; diminish in value
impale,	pierce
impalpable,	imperceptible; intangible
impartial,	not biased; fair
impasse,	predicament from which there is no escape
impassive,	without feeling; not affected by pain
impeach,	charge with crime in office; indict
impeccable,	faultless
impecunious,	without money
impede,	hinder; block; delay
impediment,	hindrance; stumbling block
impenetrable,	not able to be pierced or entered; beyond understanding
impending,	nearing; approaching
impenitent,	not repentant
imperial,	like an emperor; related to an empire
imperious,	domineering
impermeable,	impervious; not permitting passage through its substance
impertinent,	insolent
imperturbable,	calm; placid
impervious,	not penetrable; not permitting passage through
impetuous,	violent; hasty; rash
impetus,	moving force
impiety,	irreverence; wickedness
impinge,	infringe; touch; collide with
impious,	irreverent
implacable,	incapable of being pacified
implausible,	unlikely; unbelievable
implement,	put into effect; supply with tools
implication,	that is hinted at or suggested
implicit,	understood but not stated
implore,	beg
imply,	suggest a meaning not expressed; signify
impolitic,	not wise
imponderable,	weightless
import,	significance
importunate,	urging; demanding
importune,	beg earnestly
impostor,	someone who assumes false identity
impotent,	weak; ineffective
impoverished,	poor
impregnable,	invulnerable
impromptu,	without previous preparation
impropriety,	state of being inappropriate
improvident,	thriftless
improvise,	compose on the spur of the moment
imprudent,	lacking caution; injudicious
impugn,	doubt; challenge; gainsay
impunity,	freedom from punishment
impute,	attribute; ascribe
inadvertently,	carelessly; unintentionally
inalienable,	not to be taken away; nontransferable
inane,	silly; senseless
inanimate,	lifeless
inarticulate,	speechless; producing indistinct speech
inaugurate,	start; initiate; install at office
incandescent,	strikingly bright; shining with intense heat
incantation,	singing or chanting of magic spells; magical formula
incapacitate,	disable
incarcerate,	imprison
incarnate,	endowed with flesh; personified
incarnation,	act of assuming a human body and human nature
incendiary,	arsonist
incense,	enrage; infuriate
incentive,	spur; motive
inception,	start; beginning
incessant,	uninterrupted
inchoate,	recently begun; rudimentary; elementary
incidence,	rate of occurrence; particular occurrence
incidental,	not essential; minor
incipient,	beginning; in an early stage
incisive,	cutting; sharp
incite,	arouse to action
inclement,	stormy; unkind
incline,	slope; slant
inclined,	tending or leaning toward; bent
inclusive,	tending to include all
incognito,	with identity concealed; using an assumed name
incoherent,	unintelligible; muddled; illogical
incommodious,	not spacious
incompatible,	inharmonious
incongruous,	not fitting; absurd
inconsequential,	of trifling significance
incontinent,	lacking self-restraint; licentious
incontrovertible,	indisputable
incorporeal,	immaterial; without a material body
incorrigible,	uncorrectable
incredulity,	tendency to disbelief
incredulous,	withholding belief; skeptical
increment,	increase
incriminate,	accuse
